ds,yhat,yhat_lower,yhat_upper,Kategori,yhat_adj,Safety_Stock,Order_Up_To
2026-01-01,272.2929994637345,182.9456608280286,362.70006288229087,Engelsk fiksjon,256.3329994637345,76.94218163281394,333.2751810965484
2026-02-01,212.29047712633377,123.56616790423237,297.6326900642656,Engelsk fiksjon,196.33047712633376,72.6316705854739,268.9621477118077
2026-03-01,302.5998026477628,214.27476859338762,396.6957874923217,Engelsk fiksjon,286.6398026477628,80.08168922941185,366.7214918771746
2026-04-01,226.69725744711982,141.66558638437303,312.83932919957584,Engelsk fiksjon,210.73725744711982,73.31240149145192,284.0496589385717
2026-05-01,349.57234207444225,265.5666614433725,436.3039073868549,Engelsk fiksjon,333.61234207444227,73.81409813822354,407.4264402126658
2026-06-01,299.0922835889097,211.07494370187243,385.98713579958735,Engelsk fiksjon,283.13228358890973,73.953065711215,357.08534930012473
2026-07-01,460.80286417016293,375.268190332437,550.9830373033693,Engelsk fiksjon,444.84286417016295,76.74908351762244,521.5919476877854
2026-08-01,287.23391962022106,186.11540539334578,377.77848121325144,Engelsk fiksjon,271.2739196202211,77.05920135577053,348.3331209759916
2026-09-01,317.5537289227765,235.57425989227778,406.95508504759766,Engelsk fiksjon,301.5937289227765,76.08626053176269,377.67998945453917
2026-10-01,237.15516275097397,151.0421746299775,330.01029630272126,Engelsk fiksjon,221.19516275097396,79.02564557595512,300.2208083269291
2026-11-01,251.30653722258805,154.2329281421848,336.3303704156064,Engelsk fiksjon,235.34653722258804,72.36070910044116,307.7072463230292
2026-12-01,380.72130700046705,286.3336341294919,469.0818335312867,Engelsk fiksjon,364.76130700046707,75.20044811133586,439.9617551118029
2026-01-01,331.41046329497067,298.40783987911914,361.83565485183874,Norsk krim,343.19046329497064,33.29200291936932,376.48246621434
2026-02-01,335.0707692619695,303.95326937041636,365.7051706646,Norsk krim,346.85076926196945,33.520925546951354,380.3716948089208
2026-03-01,369.06027907042005,336.1617897134747,400.8905008016335,Norsk krim,380.84027907042,34.82942195512717,415.66970102554717
2026-04-01,380.0580790368117,347.08927107541723,410.43193040384847,Norsk krim,391.8380790368117,33.23582520405238,425.07390424086407
2026-05-01,387.38166128280125,355.3488285530593,420.4358158445918,Norsk krim,399.1616612828012,36.16867976366138,435.3303410464626
2026-06-01,407.39432348192827,377.1200015280616,438.95188117127356,Norsk krim,419.17432348192824,34.53106616463314,453.7053896465614
2026-07-01,505.9400754697092,473.49470439396197,538.7116974708373,Norsk krim,517.7200754697092,35.85952559393955,553.5796010636487
2026-08-01,471.71149680270594,440.07006115499104,506.6110281700442,Norsk krim,483.4914968027059,38.18793705848566,521.6794338611916
2026-09-01,413.59139001202044,382.14319289440715,444.13773330646,Norsk krim,425.3713900120204,33.424570170207424,458.7959601822278
2026-10-01,403.76839351902595,371.7934642651367,434.69127489369134,Norsk krim,415.5483935190259,33.836587522430214,449.3849810414561
2026-11-01,374.1362957099401,343.10359285108586,408.20385857175006,Norsk krim,385.9162957099401,37.27757638374342,423.19387209368347
2026-12-01,505.909577029935,476.7558306623818,539.796000334942,Norsk krim,517.689577029935,37.07936896596515,554.7689459959001
2026-01-01,265.5310437840624,234.00492479804046,299.53244043730564,Norske barnebøker,264.8410437840624,31.00431305766863,295.845356841731
2026-02-01,221.88478637065532,190.62717660919174,254.8103554159847,Norske barnebøker,221.19478637065532,30.02331523890217,251.2181016095575
2026-03-01,243.08196216612123,210.87129128269493,277.3350881397176,Norske barnebøker,242.39196216612123,31.23385347136446,273.6258156374857
2026-04-01,240.70591388544665,207.2860746758058,276.8194829249639,Norske barnebøker,240.01591388544665,32.93030611506132,272.946220000508
2026-05-01,292.1029484813249,257.08016197685924,324.74155032237945,Norske barnebøker,291.4129484813249,29.76164301615915,321.1745914974841
2026-06-01,279.14457721007534,246.53681950629823,311.65913677672063,Norske barnebøker,278.45457721007534,29.648534559251026,308.10311176932635
2026-07-01,350.58302183596663,318.359818360508,384.217385287298,Norske barnebøker,349.89302183596664,30.669632326441963,380.5626541624086
2026-08-01,352.58992788911854,320.9559569327731,384.97769079351315,Norske barnebøker,351.89992788911854,29.532914502487483,381.432842391606
2026-09-01,294.77987304308755,259.4069918837262,326.87306998755986,Norske barnebøker,294.08987304308755,29.264313323227032,323.3541863663146
2026-10-01,305.4756406175327,273.73269137630103,337.76062061064613,Norske barnebøker,304.7856406175327,29.439191483082162,334.22483210061483
2026-11-01,262.87490140183274,229.64286321249375,294.75524306046145,Norske barnebøker,262.18490140183275,29.070220357412197,291.25512175924496
2026-12-01,386.5842076112783,354.1754052082849,420.1057113107071,Norske barnebøker,385.8942076112783,30.566720698567263,416.4609283098456
